source_index,file_point_decimal,file_point_original,current_A,time_s,row,col,used_in_image
0,0,0,4.017239115134586e-06,0.0,-1,-1,0
1,1,1,3.979839472778615e-06,0.03750190933209334,-1,-1,0
2,2,2,3.983711965942164e-06,0.08044618535148484,-1,-1,0
3,3,3,4.004344288937095e-06,0.12095989915638872,-1,-1,0
4,4,4,4.120946360925102e-06,0.15046404295620056,-1,-1,0
5,5,5,4.0444550321446465e-06,0.18146736865442506,-1,-1,0
6,6,6,3.995323189939291e-06,0.2239384375623503,-1,-1,0
7,7,7,3.953648635964528e-06,0.2490437436536618,-1,-1,0
8,8,8,3.949200121007067e-06,0.2904683120213171,-1,-1,0
9,9,9,4.128216400893799e-06,0.33140970059635805,-1,-1,0
10,10,10,4.040534984338168e-06,0.3657683996532325,-1,-1,0
11,11,11,4.005404044664852e-06,0.3968290481896188,-1,-1,0
12,12,12,3.972305452627782e-06,0.42739756043163424,-1,-1,0
13,13,13,3.911275727063958e-06,0.45749495218471675,-1,-1,0
14,14,14,3.994651075402408e-06,0.49139647830236965,-1,-1,0
15,15,15,4.069892642757616e-06,0.5264874434815288,-1,-1,0
16,16,16,3.9685970202530005e-06,0.5625573905230186,-1,-1,0
17,17,17,3.981820593359955e-06,0.6074673961917064,-1,-1,0
18,18,18,3.982317251884882e-06,0.6483206345759814,-1,-1,0
19,19,19,4.008767549439854e-06,0.6857642191648047,-1,-1,0
20,20,20,3.872559129700351e-06,0.7305434221184424,-1,-1,0
21,21,21,3.9811681318427925e-06,0.7598495960831544,-1,-1,0
22,22,22,3.931648358547674e-06,0.7880538367603113,-1,-1,0
23,23,23,4.070766802605008e-06,0.8253046288457719,-1,-1,0
24,24,24,3.938352105874811e-06,0.8511834690049996,-1,-1,0
25,25,25,4.046163739784055e-06,0.8768970745804716,-1,-1,0
26,26,26,4.121954996218141e-06,0.912194850985899,-1,-1,0
27,27,27,3.9749122990974694e-06,0.9465189714924048,-1,-1,0
28,28,28,3.9518738998301225e-06,0.9898623269562619,-1,-1,0
29,29,29,4.015314580730088e-06,1.027446852046082,0,0,1
30,30,30,3.9998376777912774e-06,1.0627292049780723,0,0,1
31,31,31,3.920510692212823e-06,1.0976666736859424,0,0,1
32,32,32,4.03687355325707e-06,1.127616972126489,0,0,1
33,33,33,4.161241284278032e-06,1.1528528526373392,0,0,1
34,34,34,3.979351040378742e-06,1.1817008955170454,0,0,1
35,35,35,3.983769904314827e-06,1.2205415379346822,0,0,1
36,36,36,3.916405438114473e-06,1.249553672414422,0,0,1
37,37,37,4.025527076134923e-06,1.2819443986264663,0,0,1
38,38,38,3.900241902023389e-06,1.3070190834675077,0,0,1
39,39,39,3.911445518051881e-06,1.3486200380635427,0,0,1
40,40,40,4.102373381747503e-06,1.3767092596847714,0,0,1
41,41,41,3.927563755248428e-06,1.4070612457760472,0,0,1
42,42,42,4.086508605546507e-06,1.4496678888556638,0,0,1
43,43,43,4.121948640302624e-06,1.4848637050530322,0,0,1
44,44,44,4.020746116598139e-06,1.5268067099803495,0,0,1
45,45,45,4.044271312228066e-06,1.5646010533192,0,0,1
46,46,46,4.1561800754949425e-06,1.6044364722664373,0,0,1
47,47,47,3.984261727834742e-06,1.6312663843676982,0,0,1
48,48,48,3.95255953624467e-06,1.667089260795228,0,0,1
49,49,49,3.891741514817365e-06,1.7022447055212349,0,0,1
50,50,50,4.003336566427708e-06,1.7446714930550924,0,0,1
51,51,51,4.118331536873465e-06,1.7768967742353756,0,0,1
52,52,52,4.076767630512069e-06,1.81386045557952,0,0,1
53,53,53,3.9246327006865635e-06,1.84004548842643,0,0,1
54,54,54,3.931569969293392e-06,1.8727981244486445,0,0,1
55,55,55,3.959666301652723e-06,1.9042588513738086,0,0,1
56,56,56,4.0233814465996275e-06,1.9322628459552176,0,0,1
57,57,57,3.9835750858317055e-06,1.973589608031599,0,0,1
58,58,58,2.4017156315635448e-05,2.0061785314626053,0,1,1
59,59,59,2.4023739150243636e-05,2.05075348915083,0,1,1
60,60,60,2.3976098113065726e-05,2.087553323011042,0,1,1
61,61,61,2.3996786084671763e-05,2.124654448087639,0,1,1
62,62,62,2.4016527390177284e-05,2.1624143797034057,0,1,1
63,63,63,2.3993282423717346e-05,2.2009433845796615,0,1,1
64,64,64,2.4040281669199524e-05,2.228959144963029,0,1,1
65,65,65,2.414967006186624e-05,2.262765414306793,0,1,1
66,66,66,2.4047357782781668e-05,2.2925566935433834,0,1,1
67,67,67,2.4004464843712685e-05,2.325606659505463,0,1,1
68,68,68,2.3865110510131048e-05,2.352540741384098,0,1,1
69,69,69,2.4031036566881217e-05,2.3968973024050744,0,1,1
70,70,70,2.3844265727058624e-05,2.426197383152192,0,1,1
71,71,71,2.388727727310751e-05,2.4646326864044177,0,1,1
72,72,72,2.40683711401975e-05,2.495641088033999,0,1,1
73,73,73,2.4056498804810934e-05,2.538122628556989,0,1,1
74,74,74,2.398800488013209e-05,2.576366923323758,0,1,1
75,75,75,2.3863199111507825e-05,2.6039992396399243,0,1,1
76,76,76,2.397029211864873e-05,2.645900726057415,0,1,1
77,77,77,2.394570093454272e-05,2.689799689480315,0,1,1
78,78,78,2.4050947259690417e-05,2.7328780252442333,0,1,1
79,79,79,2.4180618442594203e-05,2.769272408201419,0,1,1
80,80,80,2.4017354439036373e-05,2.7971816072766376,0,1,1
81,81,81,2.393765510975743e-05,2.826030877176004,0,1,1
82,82,82,2.3906355877575745e-05,2.8695889908708945,0,1,1
83,83,83,2.3995512457538538e-05,2.90563552062424,0,1,1
84,84,84,2.3985856544518915e-05,2.9342465705932184,0,1,1
85,85,85,2.3907878467237802e-05,2.976927708477148,0,1,1
86,86,86,2.4009308418855376e-05,3.0147591425815974,0,2,1
87,87,87,2.3907926918295133e-05,3.0511530280710737,0,2,1
88,88,88,2.4088968581738344e-05,3.083678784793672,0,2,1
89,89,89,2.4085012048463055e-05,3.1168978904368148,0,2,1
90,90,90,2.4086780101223713e-05,3.1466876746904515,0,2,1
91,91,91,2.396207596235132e-05,3.1724488204242762,0,2,1
92,92,92,2.404116164506545e-05,3.214973196586462,0,2,1
93,93,93,2.3989434439582453e-05,3.2493278009227438,0,2,1
94,94,94,2.39688950350878e-05,3.2852805049070186,0,2,1
95,95,95,2.3972868347428637e-05,3.316723771102623,0,2,1
96,96,96,2.389602277815727e-05,3.3567502694997216,0,2,1
97,97,97,2.388449090432839e-05,3.3822542069157566,0,2,1
98,98,98,2.4063545183270083e-05,3.414697912367061,0,2,1
99,99,99,2.398470116768644e-05,3.440304918254743,0,2,1
100,100,100,2.401731398809021e-05,3.4677627602988434,0,2,1
101,101,101,2.408013683107633e-05,3.5121057250067906,0,2,1
102,102,102,2.3861349400398714e-05,3.550260939607561,0,2,1
103,103,103,2.393726959409473e-05,3.5838253445353505,0,2,1
104,104,104,2.4014026787477205e-05,3.61930014669356,0,2,1
105,105,105,2.4031367582933246e-05,3.6617563308648555,0,2,1
106,106,106,2.3969834043967913e-05,3.693640544204776,0,2,1
107,107,107,2.4082334338615828e-05,3.7304463638505703,0,2,1
108,108,108,2.401683159510637e-05,3.769120051317361,0,2,1
109,109,109,2.390292942889377e-05,3.8012283268578315,0,2,1
110,110,110,2.392553889792075e-05,3.836610296587751,0,2,1
111,111,111,2.406443768483957e-05,3.8769152442533215,0,2,1
112,112,112,2.4037106516516487e-05,3.9200988305331324,0,2,1
113,113,113,2.3848075100879474e-05,3.9481200760946686,0,2,1
114,114,114,2.4107816984308992e-05,3.991788463940817,0,2,1
