start_point,stop_point_exclusive,direction
107,583,forward
613,1089,reverse
1119,1594,forward
1621,1991,reverse
2015,2384,forward
2411,2886,reverse
2917,3392,forward
3422,3890,reverse
3920,4389,forward
4418,4880,reverse
4910,5372,forward
5401,5863,reverse
5892,6354,forward
6384,6840,reverse
6869,7326,forward
7355,7812,reverse
7841,8297,forward
8327,8783,reverse
8812,9268,forward
9297,9749,reverse
9778,10230,forward
10259,10713,reverse
10742,11197,forward
11226,11681,reverse
11710,12165,forward
12195,12650,reverse
12679,13134,forward
13163,13625,reverse
13654,14116,forward
14145,14614,reverse
14644,15112,forward
15142,15610,reverse
15639,16107,forward
16137,16604,reverse
16634,17101,forward
17131,17586,reverse
17615,18070,forward
18100,18555,reverse
18584,19040,forward
19069,19525,reverse
