row,col,x_center_nominal_mm,y_scanline_relative_mm,start_source_index,stop_source_index_exclusive,sample_count,median_current_A,mean_current_A,std_current_A,high_sample_fraction,binary_0_low_1_high
0,0,1.0,0.0,107,119,12,3.761417e-07,3.7478609166666664e-07,1.921591780034781e-09,0.0,0
0,1,3.0,0.0,119,131,12,3.668072e-07,3.669608083333333e-07,1.9300137311507773e-09,0.0,0
0,2,5.0,0.0,131,143,12,3.5837694999999996e-07,3.5920905000000005e-07,2.0245847732724564e-09,0.0,0
0,3,7.0,0.0,143,155,12,3.570922e-07,3.5711087499999994e-07,7.557659607974388e-11,0.0,0
0,4,9.0,0.0,155,167,12,3.5753435e-07,3.5767583333333333e-07,5.441267473872553e-10,0.0,0
0,5,11.0,0.0,167,179,12,3.578046e-07,3.578997500000001e-07,5.011096944116451e-10,0.0,0
0,6,13.0,0.0,179,191,12,3.571414e-07,3.571415333333334e-07,3.2355507860158865e-11,0.0,0
0,7,15.0,0.0,191,203,12,3.571568e-07,3.5716496666666667e-07,4.109416692860018e-11,0.0,0
0,8,17.0,0.0,203,215,12,3.5728075e-07,3.57268625e-07,4.41387419583541e-11,0.0,0
0,9,19.0,0.0,215,226,11,3.572526e-07,3.571913e-07,1.0388270483405031e-10,0.0,0
0,10,21.0,0.0,226,238,12,3.555951e-07,3.556743833333333e-07,7.335721594059816e-10,0.0,0
0,11,23.0,0.0,238,250,12,3.5474245e-07,3.5476504166666666e-07,9.910335899398255e-11,0.0,0
0,12,25.0,0.0,250,262,12,3.5534465e-07,3.5536503333333327e-07,2.827464185842509e-10,0.0,0
0,13,27.0,0.0,262,274,12,3.5617965e-07,3.5617890000000004e-07,2.2355464283555176e-10,0.0,0
0,14,29.0,0.0,274,286,12,3.5697315e-07,3.5700489166666675e-07,2.5210430532596653e-10,0.0,0
0,15,31.0,0.0,286,298,12,3.5807995e-07,3.582715583333333e-07,6.788001589303642e-10,0.0,0
0,16,33.0,0.0,298,310,12,3.6235125e-07,3.6214002499999997e-07,1.1832767801920505e-09,0.0,0
0,17,35.0,0.0,310,322,12,3.647066e-07,3.646849833333334e-07,4.292341743021993e-10,0.0,0
0,18,37.0,0.0,322,334,12,3.662852e-07,3.6629710833333333e-07,5.799248995320206e-10,0.0,0
0,19,39.0,0.0,334,345,11,3.684487e-07,3.6840456363636365e-07,3.9860814723399836e-10,0.0,0
0,20,41.0,0.0,345,357,12,3.685302e-07,3.685042583333334e-07,2.199351550583866e-10,0.0,0
0,21,43.0,0.0,357,369,12,3.6855605e-07,3.685404333333333e-07,1.662195001262612e-10,0.0,0
0,22,45.0,0.0,369,381,12,3.68937e-07,3.689638583333333e-07,1.1153395939005843e-10,0.0,0
0,23,47.0,0.0,381,393,12,3.6941645e-07,3.6939505833333333e-07,7.555073856172472e-11,0.0,0
