row,domain,window_start,window_stop,direction,first_used_index,stop_used_index_exclusive
0,source_index,107,583,forward,107,583
1,source_index,613,1089,reverse,613,1089
2,source_index,1119,1594,forward,1119,1594
3,source_index,1621,1991,reverse,1621,1991
4,source_index,2015,2384,forward,2015,2384
5,source_index,2411,2886,reverse,2411,2886
6,source_index,2917,3392,forward,2917,3392
7,source_index,3422,3890,reverse,3422,3890
8,source_index,3920,4389,forward,3920,4389
9,source_index,4418,4880,reverse,4418,4880
10,source_index,4910,5372,forward,4910,5372
11,source_index,5401,5863,reverse,5401,5863
12,source_index,5892,6354,forward,5892,6354
13,source_index,6384,6840,reverse,6384,6840
14,source_index,6869,7326,forward,6869,7326
15,source_index,7355,7812,reverse,7355,7812
16,source_index,7841,8297,forward,7841,8297
17,source_index,8327,8783,reverse,8327,8783
18,source_index,8812,9268,forward,8812,9268
19,source_index,9297,9749,reverse,9297,9749
20,source_index,9778,10230,forward,9778,10230
21,source_index,10259,10713,reverse,10259,10713
22,source_index,10742,11197,forward,10742,11197
23,source_index,11226,11681,reverse,11226,11681
24,source_index,11710,12165,forward,11710,12165
25,source_index,12195,12650,reverse,12195,12650
26,source_index,12679,13134,forward,12679,13134
27,source_index,13163,13625,reverse,13163,13625
28,source_index,13654,14116,forward,13654,14116
29,source_index,14145,14614,reverse,14145,14614
30,source_index,14644,15112,forward,14644,15112
31,source_index,15142,15610,reverse,15142,15610
32,source_index,15639,16107,forward,15639,16107
33,source_index,16137,16604,reverse,16137,16604
34,source_index,16634,17101,forward,16634,17101
35,source_index,17131,17586,reverse,17131,17586
36,source_index,17615,18070,forward,17615,18070
37,source_index,18100,18555,reverse,18100,18555
38,source_index,18584,19040,forward,18584,19040
39,source_index,19069,19525,reverse,19069,19525
