row,col,x_center_nominal_mm,y_scanline_relative_mm,start_source_index,stop_source_index_exclusive,sample_count,median_current_A,mean_current_A,std_current_A,high_sample_fraction,binary_0_low_1_high
0,0,1.0,0.0,107,119,12,3.761417e-07,3.7478609166666664e-07,1.921591780034781e-09,0.0,0
0,1,3.0,0.0,119,130,11,3.670605e-07,3.672270636363636e-07,1.7924515214809847e-09,0.0,0
0,2,5.0,0.0,130,142,12,3.5898935e-07,3.597657916666667e-07,2.3323210032991983e-09,0.0,0
0,3,7.0,0.0,142,153,11,3.571069e-07,3.571501545454545e-07,9.081008517917202e-11,0.0,0
0,4,9.0,0.0,153,165,12,3.571791e-07,3.5743851666666667e-07,4.640805692142595e-10,0.0,0
0,5,11.0,0.0,165,176,11,3.584079e-07,3.581605454545455e-07,3.9974490357462774e-10,0.0,0
0,6,13.0,0.0,176,187,11,3.571374e-07,3.571725909090909e-07,9.301809652423328e-11,0.0,0
0,7,15.0,0.0,187,199,12,3.5715085e-07,3.57153325e-07,2.829302402242366e-11,0.0,0
0,8,17.0,0.0,199,210,11,3.572172e-07,3.5723063636363633e-07,3.6376297795711375e-11,0.0,0
0,9,19.0,0.0,210,222,12,3.572864e-07,3.57280075e-07,3.7293724338021333e-11,0.0,0
0,10,21.0,0.0,222,233,11,3.566906e-07,3.5651817272727276e-07,5.662374045814227e-10,0.0,0
0,11,23.0,0.0,233,245,12,3.5472215e-07,3.54792375e-07,1.6933132278169604e-10,0.0,0
0,12,25.0,0.0,245,256,11,3.549735e-07,3.5500275454545457e-07,1.5602110791717424e-10,0.0,0
0,13,27.0,0.0,256,267,11,3.558103e-07,3.5577049090909097e-07,2.0957284459127712e-10,0.0,0
0,14,29.0,0.0,267,279,12,3.5651095e-07,3.56512975e-07,2.4162635454008326e-10,0.0,0
0,15,31.0,0.0,279,290,11,3.573488e-07,3.5733503636363637e-07,2.4941096160472957e-10,0.0,0
0,16,33.0,0.0,290,302,12,3.590969e-07,3.5930128333333334e-07,1.1324846796854306e-09,0.0,0
0,17,35.0,0.0,302,313,11,3.633041e-07,3.631997909090909e-07,7.788860068941608e-10,0.0,0
0,18,37.0,0.0,313,325,12,3.6505805e-07,3.6505207500000007e-07,3.951577598989204e-10,0.0,0
0,19,39.0,0.0,325,336,11,3.666253e-07,3.667601090909091e-07,6.235630455178911e-10,0.0,0
0,20,41.0,0.0,336,347,11,3.686831e-07,3.6857891818181814e-07,2.518596716722914e-10,0.0,0
0,21,43.0,0.0,347,359,12,3.6833575e-07,3.6843627499999997e-07,2.0985397353477606e-10,0.0,0
0,22,45.0,0.0,359,370,11,3.686491e-07,3.686079090909091e-07,1.443803968974477e-10,0.0,0
0,23,47.0,0.0,370,382,12,3.6895045e-07,3.690013583333334e-07,1.2407336175514516e-10,0.0,0
0,24,49.0,0.0,382,393,11,3.694208e-07,3.6940851818181816e-07,6.36616456272333e-11,0.0,0
0,25,51.0,0.0,393,405,12,3.6917164999999997e-07,3.6919680000000004e-07,1.5506445434076525e-10,0.0,0
0,26,53.0,0.0,405,416,11,3.694876e-07,3.6951523636363635e-07,3.3825676711023436e-10,0.0,0
0,27,55.0,0.0,416,427,11,3.705492e-07,3.705396727272727e-07,2.0430220081095155e-10,0.0,0
0,28,57.0,0.0,427,439,12,3.7118195e-07,3.7121429999999993e-07,2.428730601226373e-10,0.0,0
0,29,59.0,0.0,439,450,11,3.739145e-07,3.822520545454546e-07,1.6773219952941415e-08,0.0,0
0,30,61.0,0.0,450,462,12,5.858082e-05,5.291815816666667e-05,1.601972228658715e-05,0.9166666666666666,1
0,31,63.0,0.0,462,473,11,5.972942e-05,5.969266090909091e-05,2.304810427011912e-07,1.0,1
0,32,65.0,0.0,473,485,12,5.9719515000000004e-05,5.9643105833333326e-05,2.1242440394402068e-07,1.0,1
0,33,67.0,0.0,485,496,11,6.043011e-05,6.0275373636363644e-05,4.1146064339071905e-07,1.0,1
0,34,69.0,0.0,496,507,11,6.016964e-05,6.010228545454545e-05,7.350643281603886e-07,1.0,1
0,35,71.0,0.0,507,519,12,5.907113e-05,5.9163759166666674e-05,4.578851705296553e-07,1.0,1
0,36,73.0,0.0,519,530,11,6.103594e-05,6.101234818181819e-05,1.2501171943739526e-07,1.0,1
0,37,75.0,0.0,530,542,12,6.0996945e-05,6.0975207499999996e-05,1.0916541165627237e-07,1.0,1
0,38,77.0,0.0,542,553,11,5.995376e-05,5.964952363636364e-05,8.185235366557916e-07,1.0,1
0,39,79.0,0.0,553,564,11,6.538699e-05,6.414932363636364e-05,1.9375952404240806e-06,1.0,1
1,0,1.0,2.0,1039,1050,11,3.339987e-07,3.339970272727273e-07,1.706556505785299e-10,0.0,0
1,1,3.0,2.0,1028,1039,11,3.332444e-07,3.333039090909091e-07,1.770400286249892e-10,0.0,0
1,2,5.0,2.0,1016,1028,12,3.3273015e-07,3.327129e-07,1.8949760772456626e-10,0.0,0
1,3,7.0,2.0,1005,1016,11,3.319986e-07,3.319907545454546e-07,2.2426520162779799e-10,0.0,0
1,4,9.0,2.0,993,1005,12,3.3107695e-07,3.3111102499999996e-07,2.4668524184001596e-10,0.0,0
1,5,11.0,2.0,982,993,11,3.303062e-07,3.3033831818181813e-07,2.1649425278192002e-10,0.0,0
1,6,13.0,2.0,971,982,11,3.29505e-07,3.295252090909091e-07,2.556080538443256e-10,0.0,0
1,7,15.0,2.0,959,971,12,3.288694e-07,3.288435583333333e-07,1.595468868302406e-10,0.0,0
1,8,17.0,2.0,948,959,11,3.280719e-07,3.2804662727272727e-07,2.902011562250954e-10,0.0,0
1,9,19.0,2.0,936,948,12,3.269723e-07,3.2698686666666666e-07,2.8644109439037793e-10,0.0,0
1,10,21.0,2.0,925,936,11,3.261114e-07,3.2609540000000003e-07,2.4483447098360256e-10,0.0,0
1,11,23.0,2.0,913,925,12,3.250825e-07,3.2505664999999994e-07,3.756613712285775e-10,0.0,0
1,12,25.0,2.0,902,913,11,3.236525e-07,3.236674636363636e-07,3.9322084073300525e-10,0.0,0
1,13,27.0,2.0,891,902,11,3.221824e-07,3.2216222727272724e-07,4.825726400165712e-10,0.0,0
1,14,29.0,2.0,879,891,12,3.2031255e-07,3.202599333333333e-07,6.177156996188157e-10,0.0,0
1,15,31.0,2.0,868,879,11,3.180658e-07,3.180304818181818e-07,6.602219445255218e-10,0.0,0
1,16,33.0,2.0,856,868,12,3.1537965e-07,3.15347625e-07,8.889972985757646e-10,0.0,0
1,17,35.0,2.0,845,856,11,3.121489e-07,3.121184090909091e-07,9.68377835214922e-10,0.0,0
1,18,37.0,2.0,833,845,12,3.082317e-07,3.08223725e-07,1.2478911578639402e-09,0.0,0
1,19,39.0,2.0,822,833,11,3.037028e-07,3.037084363636364e-07,1.3470836467736341e-09,0.0,0
1,20,41.0,2.0,811,822,11,2.986777e-07,2.9863695454545454e-07,1.5856739658945375e-09,0.0,0
1,21,43.0,2.0,799,811,12,2.924511e-07,2.9238700833333334e-07,2.02421367015208e-09,0.0,0
1,22,45.0,2.0,788,799,11,2.85262e-07,2.8523514545454546e-07,2.0440300968979876e-09,0.0,0
1,23,47.0,2.0,776,788,12,2.7768530000000004e-07,2.7773619166666665e-07,2.2261282478248813e-09,0.0,0
1,24,49.0,2.0,765,776,11,2.716019e-07,2.720139181818182e-07,8.450369920016829e-10,0.0,0
1,25,51.0,2.0,753,765,12,2.7955745e-07,2.843165666666667e-07,1.2720427196005998e-08,0.0,0
1,26,53.0,2.0,742,753,11,4.042712e-05,3.3527974854545456e-05,2.380737993227996e-05,0.5454545454545454,1
1,27,55.0,2.0,731,742,11,5.855764e-05,5.867366090909092e-05,4.927929943136645e-07,1.0,1
1,28,57.0,2.0,719,731,12,5.720655e-05,5.724661833333334e-05,2.7128211161179624e-07,1.0,1
1,29,59.0,2.0,708,719,11,5.876738e-05,5.862140363636364e-05,2.900061620433967e-07,1.0,1
1,30,61.0,2.0,696,708,12,5.9949125e-05,5.989932416666666e-05,2.8573645186483674e-07,1.0,1
1,31,63.0,2.0,685,696,11,5.962624e-05,5.9600031818181816e-05,2.2713029031485974e-07,1.0,1
1,32,65.0,2.0,673,685,12,6.08117e-05,6.0614099166666665e-05,3.6102160338079317e-07,1.0,1
1,33,67.0,2.0,662,673,11,6.083804e-05,6.083238545454546e-05,3.09844302142622e-08,1.0,1
1,34,69.0,2.0,651,662,11,6.048761e-05,6.049962727272727e-05,1.2444185426359522e-07,1.0,1
1,35,71.0,2.0,639,651,12,5.984625e-05,6.003979500000001e-05,2.437778197308978e-06,1.0,1
1,36,73.0,2.0,628,639,11,6.528631e-05,6.528774454545455e-05,2.6527173499719954e-08,1.0,1
1,37,75.0,2.0,616,628,12,6.529992000000001e-05,6.530534833333334e-05,3.443614787625845e-08,1.0,1
1,38,77.0,2.0,605,616,11,6.537366e-05,6.537077454545455e-05,3.7767254061407286e-08,1.0,1
1,39,79.0,2.0,593,605,12,6.5338985e-05,6.533863833333334e-05,3.4146928810980444e-08,1.0,1
2,0,1.0,4.0,1079,1091,12,3.364933e-07,3.359919916666667e-07,1.6625339627901033e-09,0.0,0
2,1,3.0,4.0,1091,1102,11,3.388203e-07,3.3880648181818183e-07,3.631738922789689e-10,0.0,0
2,2,5.0,4.0,1102,1114,12,3.416861e-07,3.415054333333333e-07,1.2154449427633072e-09,0.0,0
2,3,7.0,4.0,1114,1125,11,3.447968e-07,3.4471296363636365e-07,4.896617705996383e-10,0.0,0
2,4,9.0,4.0,1125,1137,12,3.3918265000000003e-07,3.39904125e-07,1.9612555987279382e-09,0.0,0
2,5,11.0,4.0,1137,1148,11,3.383837e-07,3.3850247272727275e-07,4.665728240749637e-10,0.0,0
2,6,13.0,4.0,1148,1159,11,3.403437e-07,3.4029399090909093e-07,4.993547899850255e-10,0.0,0
2,7,15.0,4.0,1159,1171,12,3.417285e-07,3.4170907500000004e-07,3.5716071808314907e-10,0.0,0
2,8,17.0,4.0,1171,1182,11,3.42618e-07,3.4260692727272724e-07,1.7571590237399512e-10,0.0,0
2,9,19.0,4.0,1182,1194,12,3.43194e-07,3.4320286666666673e-07,2.1529006918315996e-10,0.0,0
2,10,21.0,4.0,1194,1205,11,3.440443e-07,3.440070909090909e-07,1.9906244088703638e-10,0.0,0
2,11,23.0,4.0,1205,1217,12,3.447287e-07,3.4474455000000004e-07,2.6571566727111677e-10,0.0,0
2,12,25.0,4.0,1217,1228,11,3.455119e-07,3.4552071818181816e-07,1.6516503492062237e-10,0.0,0
2,13,27.0,4.0,1228,1239,11,3.463208e-07,3.4630272727272726e-07,2.5422792597806846e-10,0.0,0
2,14,29.0,4.0,1239,1251,12,3.47341e-07,3.473142333333334e-07,3.0645920972002644e-10,0.0,0
2,15,31.0,4.0,1251,1262,11,3.482885e-07,3.4826162727272724e-07,2.5915532054212264e-10,0.0,0
2,16,33.0,4.0,1262,1274,12,3.4902e-07,3.490256e-07,2.0265515455243361e-10,0.0,0
2,17,35.0,4.0,1274,1285,11,3.49967e-07,3.4992621818181817e-07,2.965719744565555e-10,0.0,0
2,18,37.0,4.0,1285,1297,12,3.5103559999999997e-07,3.5105359999999994e-07,3.579834260595486e-10,0.0,0
2,19,39.0,4.0,1297,1308,11,3.521959e-07,3.521944090909091e-07,3.0838698962813764e-10,0.0,0
2,20,41.0,4.0,1308,1319,11,3.533084e-07,3.5330900909090907e-07,3.417601084613759e-10,0.0,0
2,21,43.0,4.0,1319,1331,12,3.54478e-07,3.544842e-07,3.4151428959855433e-10,0.0,0
2,22,45.0,4.0,1331,1342,11,3.557024e-07,3.5567954545454547e-07,3.4265077733257353e-10,0.0,0
2,23,47.0,4.0,1342,1354,12,3.569706e-07,3.5697169999999997e-07,4.309211122699792e-10,0.0,0
2,24,49.0,4.0,1354,1365,11,3.583559e-07,3.5837342727272723e-07,3.460848190595323e-10,0.0,0
2,25,51.0,4.0,1365,1377,12,3.5936624999999997e-07,3.593772333333333e-07,2.4132559379854467e-10,0.0,0
2,26,53.0,4.0,1377,1388,11,3.600822e-07,3.600954727272727e-07,1.7342111170059335e-10,0.0,0
2,27,55.0,4.0,1388,1399,11,3.608409e-07,3.6081657272727274e-07,2.03073681616532e-10,0.0,0
2,28,57.0,4.0,1399,1411,12,3.6151964999999997e-07,3.6151794999999995e-07,2.0845297431315606e-10,0.0,0
2,29,59.0,4.0,1411,1422,11,3.621865e-07,3.621622454545455e-07,1.241009806102684e-10,0.0,0
2,30,61.0,4.0,1422,1434,12,3.6273015000000003e-07,3.6272225833333335e-07,2.2660078132526813e-10,0.0,0
2,31,63.0,4.0,1434,1445,11,3.633184e-07,3.633850454545455e-07,1.9311321862215617e-10,0.0,0
2,32,65.0,4.0,1445,1457,12,3.64253e-07,3.65174e-07,2.1071466761950856e-09,0.0,0
2,33,67.0,4.0,1457,1468,11,5.511115e-05,3.20333973e-05,2.8859759098573102e-05,0.5454545454545454,1
2,34,69.0,4.0,1468,1479,11,5.769883e-05,5.777360818181818e-05,4.0697152709915847e-07,1.0,1
2,35,71.0,4.0,1479,1491,12,5.8914644999999996e-05,5.8640683333333326e-05,8.397122314850234e-07,1.0,1
2,36,73.0,4.0,1491,1502,11,5.934545e-05,5.938197636363637e-05,1.7802605816783416e-07,1.0,1
2,37,75.0,4.0,1502,1514,12,5.9536065e-05,5.951582166666667e-05,3.4353115726799585e-07,1.0,1
2,38,77.0,4.0,1514,1525,11,5.93321e-05,5.939396636363636e-05,9.74692867767937e-07,1.0,1
2,39,79.0,4.0,1525,1536,11,6.086547e-05,6.0855693636363644e-05,6.182800340427198e-08,1.0,1
3,0,1.0,6.0,2010,2021,11,3.303072e-07,3.303060909090909e-07,2.067963708778792e-10,0.0,0
3,1,3.0,6.0,1999,2010,11,3.299425e-07,3.2995510000000004e-07,1.319412196947776e-10,0.0,0
3,2,5.0,6.0,1987,1999,12,3.29793e-07,3.29547425e-07,6.393148300133501e-10,0.0,0
3,3,7.0,6.0,1976,1987,11,3.279682e-07,3.2794634545454546e-07,1.2521167795984607e-10,0.0,0
3,4,9.0,6.0,1964,1976,12,3.273464e-07,3.272932333333333e-07,6.997879408951132e-10,0.0,0
3,5,11.0,6.0,1953,1964,11,3.241732e-07,3.241921727272728e-07,9.636361526586478e-10,0.0,0
3,6,13.0,6.0,1942,1953,11,3.184844e-07,3.182692545454545e-07,2.942371616837384e-09,0.0,0
3,7,15.0,6.0,1930,1942,12,3.143738e-07,3.143734916666667e-07,2.528703075304749e-10,0.0,0
3,8,17.0,6.0,1919,1930,11,3.139065e-07,3.139287818181818e-07,1.0869306089904022e-10,0.0,0
3,9,19.0,6.0,1907,1919,12,3.157478e-07,3.160679333333333e-07,1.4024038543000209e-09,0.0,0
3,10,21.0,6.0,1896,1907,11,3.263294e-07,3.303528909090909e-07,1.0786672476167021e-08,0.0,0
3,11,23.0,6.0,1885,1896,11,3.933645e-07,3.899271090909091e-07,8.087696754100086e-09,0.0,0
3,12,25.0,6.0,1873,1885,12,3.753329e-07,3.7231076666666665e-07,1.2126803950569811e-08,0.0,0
3,13,27.0,6.0,1862,1873,11,3.033723e-07,3.058341909090909e-07,8.89400282564857e-09,0.0,0
3,14,29.0,6.0,1850,1862,12,3.0612345e-07,3.057153083333334e-07,1.1196468062580713e-09,0.0,0
3,15,31.0,6.0,1839,1850,11,3.009931e-07,3.010774636363637e-07,1.2325633874702982e-09,0.0,0
3,16,33.0,6.0,1828,1839,11,2.967248e-07,2.966611727272727e-07,1.1858412511346384e-09,0.0,0
3,17,35.0,6.0,1816,1828,12,2.9147290000000004e-07,2.914003333333333e-07,1.961686428957378e-09,0.0,0
3,18,37.0,6.0,1805,1816,11,2.847437e-07,2.846924454545455e-07,1.7065251671498134e-09,0.0,0
3,19,39.0,6.0,1793,1805,12,2.7747789999999997e-07,2.7760956666666673e-07,2.1195382179197043e-09,0.0,0
3,20,41.0,6.0,1782,1793,11,2.705862e-07,2.706495e-07,1.7719007811335845e-09,0.0,0
3,21,43.0,6.0,1771,1782,11,2.673823e-07,2.676740090909091e-07,8.914606608916387e-10,0.0,0
3,22,45.0,6.0,1759,1771,12,2.9313865e-07,1.6873169499999998e-06,4.599403522062499e-06,0.0,0
3,23,47.0,6.0,1748,1759,11,5.963191e-05,5.342579909090909e-05,1.0267591977561292e-05,0.9090909090909091,1
3,24,49.0,6.0,1736,1748,12,5.8960724999999994e-05,5.8904259999999995e-05,6.310674683423318e-07,1.0,1
3,25,51.0,6.0,1725,1736,11,5.983708e-05,5.979253363636364e-05,1.8307629265481461e-07,1.0,1
3,26,53.0,6.0,1714,1725,11,6.00909e-05,5.978066363636364e-05,7.290266355188056e-07,1.0,1
3,27,55.0,6.0,1702,1714,12,5.938165e-05,5.934999416666666e-05,5.555829421346296e-07,1.0,1
3,28,57.0,6.0,1691,1702,11,6.055833e-05,6.047150363636363e-05,1.775187788413449e-07,1.0,1
3,29,59.0,6.0,1679,1691,12,6.042115e-05,6.0383640833333326e-05,1.7573674783884043e-07,1.0,1
3,30,61.0,6.0,1668,1679,11,6.006721e-05,6.0032699090909094e-05,9.616097738636475e-08,1.0,1
3,31,63.0,6.0,1657,1668,11,5.939924e-05,5.8839310000000005e-05,1.109985161678053e-06,1.0,1
3,32,65.0,6.0,1645,1657,12,6.438360499999999e-05,6.246216499999999e-05,3.3046495336558247e-06,1.0,1
3,33,67.0,6.0,1634,1645,11,6.51521e-05,6.515634727272728e-05,2.5572368643060168e-08,1.0,1
3,34,69.0,6.0,1622,1634,12,6.517804e-05,6.51798425e-05,3.963084659811581e-08,1.0,1
3,35,71.0,6.0,1611,1622,11,6.515273e-05,6.514951454545455e-05,3.3410074518606937e-08,1.0,1
3,36,73.0,6.0,1600,1611,11,6.519625e-05,6.519635272727273e-05,3.6733144827602423e-08,1.0,1
3,37,75.0,6.0,1588,1600,12,6.5181885e-05,6.519650999999999e-05,3.458703152917382e-08,1.0,1
3,38,77.0,6.0,1577,1588,11,6.527453e-05,6.526947454545456e-05,3.108316743063057e-08,1.0,1
3,39,79.0,6.0,1565,1577,12,6.525454e-05,6.425626666666667e-05,1.8168537280801911e-06,1.0,1
4,0,1.0,8.0,2050,2062,12,3.3553705e-07,3.3555377499999994e-07,5.093378923088993e-10,0.0,0
4,1,3.0,8.0,2062,2073,11,3.371403e-07,3.371625181818182e-07,4.001033566880729e-10,0.0,0
4,2,5.0,8.0,2073,2085,12,3.3883809999999997e-07,3.388260416666666e-07,5.031756874398369e-10,0.0,0
4,3,7.0,8.0,2085,2096,11,3.404941e-07,3.4050137272727277e-07,4.6357508775113524e-10,0.0,0
4,4,9.0,8.0,2096,2108,12,3.4204695e-07,3.4209089999999994e-07,4.614783978331701e-10,0.0,0
4,5,11.0,8.0,2108,2119,11,3.435763e-07,3.436130909090909e-07,4.3327101208984183e-10,0.0,0
4,6,13.0,8.0,2119,2130,11,3.450829e-07,3.4510460909090906e-07,4.460146072914602e-10,0.0,0
4,7,15.0,8.0,2130,2142,12,3.4671635e-07,3.467053583333334e-07,4.488366860717668e-10,0.0,0
4,8,17.0,8.0,2142,2153,11,3.481439e-07,3.481493272727273e-07,3.825042675719426e-10,0.0,0
4,9,19.0,8.0,2153,2165,12,3.4945214999999996e-07,3.494406916666667e-07,3.5495731306345067e-10,0.0,0
4,10,21.0,8.0,2165,2176,11,3.506018e-07,3.5058059999999996e-07,2.938274849449726e-10,0.0,0
4,11,23.0,8.0,2176,2188,12,3.5160294999999995e-07,3.516085666666667e-07,3.0140919122607327e-10,0.0,0
4,12,25.0,8.0,2188,2199,11,3.526707e-07,3.526541e-07,2.8621683134549014e-10,0.0,0
4,13,27.0,8.0,2199,2210,11,3.535162e-07,3.535365909090909e-07,2.3247766834900557e-10,0.0,0
4,14,29.0,8.0,2210,2222,12,3.5446985e-07,3.544491583333333e-07,2.9026039877534635e-10,0.0,0
4,15,31.0,8.0,2222,2233,11,3.554593e-07,3.5543435454545456e-07,2.641781849215172e-10,0.0,0
4,16,33.0,8.0,2233,2245,12,3.5641695e-07,3.563563333333333e-07,2.2903874975402568e-10,0.0,0
4,17,35.0,8.0,2245,2256,11,3.675446e-07,9.801405545454545e-06,2.002461837708245e-05,0.18181818181818182,0
4,18,37.0,8.0,2256,2268,12,5.8709385e-05,5.8574228333333325e-05,3.910619823385492e-07,1.0,1
4,19,39.0,8.0,2268,2279,11,5.963967e-05,5.958252272727273e-05,2.792622370751167e-07,1.0,1
4,20,41.0,8.0,2279,2290,11,5.985155e-05,5.987477909090909e-05,1.1366303448467648e-07,1.0,1
4,21,43.0,8.0,2290,2302,12,6.065169e-05,6.055653e-05,1.8299208835356813e-07,1.0,1
4,22,45.0,8.0,2302,2313,11,6.0697e-05,6.072889363636363e-05,8.274232370577616e-08,1.0,1
4,23,47.0,8.0,2313,2325,12,6.0793285e-05,6.078432416666667e-05,8.752840371924432e-08,1.0,1
4,24,49.0,8.0,2325,2336,11,6.028252e-05,6.0353332727272725e-05,1.5273198379638804e-07,1.0,1
4,25,51.0,8.0,2336,2348,12,5.9939569999999996e-05,5.967341666666667e-05,8.119692794305015e-07,1.0,1
4,26,53.0,8.0,2348,2359,11,5.798208e-05,5.954109363636364e-05,4.09733141512258e-06,1.0,1
4,27,55.0,8.0,2359,2370,11,6.518262e-05,6.51856990909091e-05,3.832528039500007e-08,1.0,1
4,28,57.0,8.0,2370,2382,12,6.513229999999999e-05,6.514272083333332e-05,3.5421681086197036e-08,1.0,1
4,29,59.0,8.0,2382,2393,11,6.510676e-05,6.510432636363636e-05,4.6908183676919556e-08,1.0,1
4,30,61.0,8.0,2393,2405,12,6.5094515e-05,6.510162249999999e-05,3.033267823239483e-08,1.0,1
4,31,63.0,8.0,2405,2416,11,6.511845e-05,6.514084454545454e-05,4.817075732389015e-08,1.0,1
4,32,65.0,8.0,2416,2428,12,6.5126935e-05,6.513326166666666e-05,4.209776415941852e-08,1.0,1
4,33,67.0,8.0,2428,2439,11,6.502079e-05,6.348219999999999e-05,2.6577283896078007e-06,1.0,1
4,34,69.0,8.0,2439,2450,11,5.778643e-05,5.694084454545454e-05,2.5205124521607737e-06,1.0,1
4,35,71.0,8.0,2450,2462,12,6.0115605e-05,6.000395333333333e-05,3.723412071906921e-07,1.0,1
4,36,73.0,8.0,2462,2473,11,6.041277e-05,6.0338512727272725e-05,1.6377717235155543e-07,1.0,1
4,37,75.0,8.0,2473,2485,12,6.053708e-05,6.0501865833333336e-05,1.2027937662364373e-07,1.0,1
4,38,77.0,8.0,2485,2496,11,6.036826e-05,6.038687909090909e-05,1.0296579082875865e-07,1.0,1
4,39,79.0,8.0,2496,2507,11,6.010021e-05,6.006501909090909e-05,1.4063396133577276e-07,1.0,1
5,0,1.0,10.0,2982,2993,11,3.253051e-07,3.252707545454546e-07,1.7301157272714409e-10,0.0,0
5,1,3.0,10.0,2971,2982,11,3.244386e-07,3.2444685454545454e-07,3.147232041121407e-10,0.0,0
