row,domain,window_start,window_stop,direction,first_used_index,stop_used_index_exclusive
0,source_index,107,564,forward,107,564
1,source_index,593,1050,reverse,593,1050
2,source_index,1079,1536,forward,1079,1536
3,source_index,1565,2021,reverse,1565,2021
4,source_index,2050,2507,forward,2050,2507
5,source_index,2536,2993,reverse,2536,2993
6,source_index,3022,3479,forward,3022,3479
7,source_index,3508,3964,reverse,3508,3964
8,source_index,3993,4450,forward,3993,4450
9,source_index,4479,4936,reverse,4479,4936
10,source_index,4965,5422,forward,4965,5422
11,source_index,5451,5907,reverse,5451,5907
12,source_index,5936,6393,forward,5936,6393
13,source_index,6422,6879,reverse,6422,6879
14,source_index,6908,7365,forward,6908,7365
15,source_index,7394,7850,reverse,7394,7850
16,source_index,7879,8336,forward,7879,8336
17,source_index,8365,8822,reverse,8365,8822
18,source_index,8851,9308,forward,8851,9308
19,source_index,9337,9793,reverse,9337,9793
20,source_index,9822,10279,forward,9822,10279
21,source_index,10308,10765,reverse,10308,10765
22,source_index,10794,11251,forward,10794,11251
23,source_index,11280,11736,reverse,11280,11736
24,source_index,11765,12222,forward,11765,12222
25,source_index,12251,12708,reverse,12251,12708
26,source_index,12737,13194,forward,12737,13194
27,source_index,13223,13679,reverse,13223,13679
28,source_index,13708,14165,forward,13708,14165
29,source_index,14194,14651,reverse,14194,14651
30,source_index,14680,15137,forward,14680,15137
31,source_index,15166,15622,reverse,15166,15622
32,source_index,15651,16108,forward,15651,16108
33,source_index,16137,16594,reverse,16137,16594
34,source_index,16623,17080,forward,16623,17080
35,source_index,17109,17565,reverse,17109,17565
36,source_index,17594,18051,forward,17594,18051
37,source_index,18080,18537,reverse,18080,18537
38,source_index,18566,19023,forward,18566,19023
39,source_index,19052,19508,reverse,19052,19508
