row,col,x_center_nominal_mm,y_scanline_relative_mm,start_source_index,stop_source_index_exclusive,sample_count,median_current_A,mean_current_A,std_current_A,high_sample_fraction,binary_0_low_1_high
0,0,1.0,0.0,1855,1933,78,2.47e-05,2.470897435897435e-05,2.8581406166163764e-08,1.0,1
0,1,3.0,0.0,1933,2010,77,2.47e-05,2.4716883116883114e-05,3.74602729918333e-08,1.0,1
0,2,5.0,0.0,2010,2088,78,2.47e-05,2.471282051282051e-05,3.3431807206167104e-08,1.0,1
0,3,7.0,0.0,2088,2166,78,2.47e-05,2.470897435897435e-05,2.858140616616376e-08,1.0,1
0,4,9.0,0.0,2166,2244,78,2.47e-05,2.472179487179487e-05,4.128523637975503e-08,1.0,1
0,5,11.0,0.0,2244,2322,78,2.47e-05,2.4720512820512814e-05,4.0379527559034545e-08,1.0,1
0,6,13.0,0.0,2322,2399,77,2.47e-05,2.4718181818181817e-05,3.856946079199313e-08,1.0,1
0,7,15.0,0.0,2399,2477,78,2.48e-05,2.4788461538461536e-05,3.194855331891537e-08,1.0,1
0,8,17.0,0.0,2477,2555,78,2.48e-05,2.4769230769230764e-05,4.6153846153845716e-08,1.0,1
0,9,19.0,0.0,2555,2633,78,2.49e-05,2.485512820512821e-05,6.914762338544494e-08,1.0,1
0,10,21.0,0.0,2633,2711,78,2.5e-05,2.5000000000000008e-05,1.6012815380508832e-08,1.0,1
0,11,23.0,0.0,2711,2789,78,2.345e-05,2.3426923076923074e-05,1.2140917336316e-06,1.0,1
0,12,25.0,0.0,2789,2866,77,2.35e-05,2.341688311688312e-05,1.7162523154994034e-07,1.0,1
0,13,27.0,0.0,2866,2944,78,2.35e-05,2.351282051282052e-05,3.343180720616825e-08,1.0,1
0,14,29.0,0.0,2944,3022,78,2.34e-05,2.3441025641025647e-05,4.9188015623719723e-08,1.0,1
0,15,31.0,0.0,3022,3100,78,2.35e-05,2.3485897435897436e-05,4.729709421973514e-08,1.0,1
0,16,33.0,0.0,3100,3178,78,2.35e-05,2.350512820512821e-05,4.776393848768551e-08,1.0,1
0,17,35.0,0.0,3178,3255,77,2.35e-05,2.3507792207792212e-05,2.68048927799361e-08,1.0,1
0,18,37.0,0.0,3255,3333,78,2.35e-05,2.350384615384616e-05,1.9230769230769697e-08,1.0,1
0,19,39.0,0.0,3333,3411,78,2.35e-05,2.3500000000000005e-05,6.776263578034403e-21,1.0,1
0,20,41.0,0.0,3411,3489,78,2.35e-05,2.3498717948717957e-05,1.1249954342810301e-08,1.0,1
0,21,43.0,0.0,3489,3567,78,2.35e-05,2.3500000000000005e-05,2.264554068289208e-08,1.0,1
0,22,45.0,0.0,3567,3644,77,2.34e-05,2.3411688311688313e-05,3.2128095784033405e-08,1.0,1
0,23,47.0,0.0,3644,3722,78,2.34e-05,2.3421794871794878e-05,4.128523637975503e-08,1.0,1
0,24,49.0,0.0,3722,3800,78,2.34e-05,2.3423076923076923e-05,4.2132504423473915e-08,1.0,1
0,25,51.0,0.0,3800,3878,78,2.34e-05,2.342564102564103e-05,4.366509324596471e-08,1.0,1
0,26,53.0,0.0,3878,3956,78,2.34e-05,2.3424358974358978e-05,4.2924792417392414e-08,1.0,1
0,27,55.0,0.0,3956,4034,78,2.34e-05,2.3433333333333338e-05,4.7140452079102715e-08,1.0,1
0,28,57.0,0.0,4034,4111,77,2.34e-05,2.3409090909090903e-05,6.06925789379107e-08,1.0,1
0,29,59.0,0.0,4111,4189,78,2.34e-05,2.333717948717949e-05,9.488045698501648e-08,1.0,1
0,30,61.0,0.0,4189,4267,78,2.34e-05,2.3405128205128206e-05,2.205724427446806e-08,1.0,1
0,31,63.0,0.0,4267,4345,78,2.34e-05,2.337435897435897e-05,5.4150543799853e-08,1.0,1
0,32,65.0,0.0,4345,4423,78,2.34e-05,2.3385897435897437e-05,5.711966515370579e-08,1.0,1
0,33,67.0,0.0,4423,4500,77,2.34e-05,2.3420779220779223e-05,4.057272558912509e-08,1.0,1
0,34,69.0,0.0,4500,4578,78,2.34e-05,2.3421794871794878e-05,4.128523637975503e-08,1.0,1
0,35,71.0,0.0,4578,4656,78,2.34e-05,2.3412820512820514e-05,3.3431807206167104e-08,1.0,1
0,36,73.0,0.0,4656,4734,78,2.34e-05,2.3402564102564106e-05,2.2499908685620615e-08,1.0,1
0,37,75.0,0.0,4734,4812,78,2.34e-05,2.3400000000000003e-05,3.3881317890172014e-21,1.0,1
0,38,77.0,0.0,4812,4889,77,2.34e-05,2.3400000000000003e-05,3.3881317890172014e-21,1.0,1
0,39,79.0,0.0,4889,4967,78,2.34e-05,2.3400000000000003e-05,3.3881317890172014e-21,1.0,1
0,40,81.0,0.0,4967,5045,78,2.34e-05,2.3400000000000003e-05,3.3881317890172014e-21,1.0,1
0,41,83.0,0.0,5045,5123,78,2.34e-05,2.3338461538461535e-05,7.37820234355796e-08,1.0,1
0,42,85.0,0.0,5123,5201,78,2.34e-05,2.3373076923076922e-05,4.4356009979502637e-08,1.0,1
0,43,87.0,0.0,5201,5279,78,2.34e-05,2.339615384615385e-05,1.9230769230769045e-08,1.0,1
0,44,89.0,0.0,5279,5356,77,2.34e-05,2.3368831168831163e-05,5.643002852571487e-08,1.0,1
0,45,91.0,0.0,5356,5434,78,2.3e-05,2.1702564102564102e-05,2.342471539327112e-06,1.0,1
0,46,93.0,0.0,5434,5512,78,3.48e-06,4.2871794871794855e-06,2.4359270848398046e-06,0.05128205128205128,0
0,47,95.0,0.0,5512,5590,78,3.49e-06,3.4875641025641e-06,8.349097515469142e-09,0.0,0
0,48,97.0,0.0,5590,5668,78,3.5e-06,3.501666666666669e-06,5.4104994476946134e-09,0.0,0
0,49,99.0,0.0,5668,5745,77,3.51e-06,3.5119480519480528e-06,4.845391715890412e-09,0.0,0
1,0,1.0,2.0,9683,9760,77,2.48e-05,2.4805194805194806e-05,2.2192217520305063e-08,1.0,1
1,1,3.0,2.0,9605,9683,78,2.48e-05,2.480128205128205e-05,1.1249954342810306e-08,1.0,1
1,2,5.0,2.0,9527,9605,78,2.48e-05,2.4805128205128206e-05,2.205724427446806e-08,1.0,1
1,3,7.0,2.0,9449,9527,78,2.48e-05,2.4802564102564103e-05,1.5806189751202353e-08,1.0,1
1,4,9.0,2.0,9371,9449,78,2.48e-05,2.4811538461538463e-05,3.194855331891537e-08,1.0,1
1,5,11.0,2.0,9294,9371,77,2.48e-05,2.4815584415584416e-05,3.627075336043846e-08,1.0,1
1,6,13.0,2.0,9216,9294,78,2.48e-05,2.482179487179487e-05,4.128523637975503e-08,1.0,1
1,7,15.0,2.0,9138,9216,78,2.48e-05,2.4811538461538463e-05,3.194855331891537e-08,1.0,1
1,8,17.0,2.0,9060,9138,78,2.48e-05,2.4819230769230775e-05,3.941134909984423e-08,1.0,1
