row,domain,window_start,window_stop,direction,first_used_index,stop_used_index_exclusive
0,source_index,1854.3201508698546,5744.887357421745,forward,1855,5745
1,source_index,5869.353387765511,9759.920594317402,reverse,5870,9760
2,source_index,9884.386624661167,13774.953831213057,forward,9885,13775
3,source_index,13899.419861556824,17789.987068108712,reverse,13900,17790
4,source_index,17914.45309845248,21805.02030500437,forward,17915,21806
5,source_index,21929.486335348134,25820.053541900026,reverse,21930,25821
6,source_index,25944.519572243793,29835.086778795685,forward,25945,29836
7,source_index,29959.552809139448,33850.12001569134,reverse,29960,33851
8,source_index,33974.5860460351,37865.15325258699,forward,33975,37866
9,source_index,37989.61928293076,41880.18648948265,reverse,37990,41881
10,source_index,42004.65251982641,45895.2197263783,forward,42005,45896
11,source_index,46019.68575672207,49910.25296327396,reverse,46020,49911
12,source_index,50034.71899361773,53925.28620016962,forward,50035,53926
13,source_index,54049.75223051338,57940.31943706527,reverse,54050,57941
14,source_index,58064.78546740904,61955.35267396093,forward,58065,61956
15,source_index,62079.81870430469,65970.38591085658,reverse,62080,65971
16,source_index,66094.85194120035,69985.41914775225,forward,66095,69986
17,source_index,70109.88517809601,74000.45238464791,reverse,70110,74001
18,source_index,74124.91841499167,78015.48562154357,forward,74125,78016
19,source_index,78139.95165188731,82030.5188584392,reverse,78140,82031
20,source_index,82154.98488878297,86045.55209533486,forward,82155,86046
21,source_index,86170.01812567863,90060.58533223052,reverse,86171,90061
22,source_index,90185.05136257429,94075.61856912618,forward,90186,94076
23,source_index,94200.08459946995,98090.65180602184,reverse,94201,98091
24,source_index,98215.1178363656,102105.6850429175,forward,98216,102106
25,source_index,102230.15107326125,106120.71827981315,reverse,102231,106121
26,source_index,106245.18431015691,110135.75151670881,forward,106246,110136
27,source_index,110260.21754705257,114150.78475360447,reverse,110261,114151
28,source_index,114275.25078394823,118165.81799050013,forward,114276,118166
